Latest_Update,Gebied,Locatie,lat_vijver,long_vijver,Nummer,Type,UUID,eDNA_Status,Laatste_vangst,Larven,Post-Metamorfen
2023-06-23T09:32:55Z,NA,moerbeemdweg,NA,NA,,Stilstaand,362ad334-59ba-4d85-8774-a60dd8d5f130,onbekend,2019-07-31T00:00:00Z,1371,1
2021-05-19T15:24:01Z,Mol,mol 1,NA,NA,,Stilstaand,4f12a0ae-f003-4883-a393-32da5748e0de,onbekend,2019-07-02T00:00:00Z,0,0
2021-05-19T15:24:05Z,Mol,mol 2,NA,NA,,Stilstaand,3c8d13ea-e390-4595-aea5-d4bc839eb26f,onbekend,NA,NA,NA
2021-05-19T15:24:08Z,Mol,mol 3 & 5,NA,NA,,Stilstaand,87a25b46-35e4-452a-8c18-b3bf104b5892,onbekend,2019-07-02T00:00:00Z,0,0
2021-05-19T15:24:10Z,Mol,mol 4,NA,NA,,Stilstaand,9a9c341e-726e-45d6-a53c-dde2edbd6d3a,onbekend,NA,NA,NA
2021-05-19T15:24:14Z,Mol,mol 6,NA,NA,,Stilstaand,9721442f-2959-4180-add7-3a277b785651,onbekend,NA,NA,NA
2021-05-19T15:24:17Z,Mol,mol 7,NA,NA,,Stilstaand,75bedd3a-b7cf-401c-9b74-f74f1c1d72f2,onbekend,NA,NA,NA
2021-05-19T15:24:20Z,Mol,mol 8a,NA,NA,,Stilstaand,c3b4692f-4499-4a23-8442-fca4d530c29e,onbekend,NA,NA,NA
2021-05-19T15:24:22Z,Mol,mol 8b,NA,NA,,Stilstaand,4b1015bc-8e28-4de8-9b2f-360a968d8587,onbekend,NA,NA,NA
2021-05-19T15:24:25Z,Mol,mol 9,NA,NA,,Stilstaand,bf73d59b-4022-49d2-8d06-6d8ed14f390a,onbekend,NA,NA,NA
2021-05-19T15:24:28Z,Mol,mol 10,NA,NA,,Stilstaand,5323a5b0-9480-41a8-8b72-a248656c4df7,onbekend,NA,NA,NA
2021-05-19T15:24:31Z,Mol,mol 14,NA,NA,,Stilstaand,73b540a9-b643-47c9-ba95-e1830f705af2,onbekend,2019-07-02T00:00:00Z,0,0
2021-05-19T15:24:33Z,Mol,mol 34,NA,NA,,Stilstaand,e23906f6-6d6b-4fff-913f-78a71ae22002,onbekend,2019-05-16T00:00:00Z,0,0
2021-05-19T15:24:36Z,Mol,mol 42,NA,NA,,Stilstaand,b1aff4a7-a117-4f8e-b48a-f0875772598e,onbekend,2019-07-02T00:00:00Z,0,0
2021-05-19T15:24:39Z,Mol,mol 43,NA,NA,,Stilstaand,d2e13b08-80d3-41b2-a386-2744ffceab95,onbekend,2019-07-02T00:00:00Z,0,0
2021-05-19T15:24:42Z,Mol,mol 39,NA,NA,,Stilstaand,9c52e9f1-b191-4c05-bbdd-33b82d43d12a,onbekend,2019-05-16T00:00:00Z,0,0
